loss: 3.6656 - accuracy: 0.1648 - val_loss: 3.2295 - val_accuracy: 0.2622
loss: 2.4938 - accuracy: 0.3739 - val_loss: 2.6236 - val_accuracy: 0.3452
loss: 2.1059 - accuracy: 0.4525 - val_loss: 2.7024 - val_accuracy: 0.3478
loss: 1.8024 - accuracy: 0.5265 - val_loss: 2.5090 - val_accuracy: 0.3918
loss: 1.5476 - accuracy: 0.5843 - val_loss: 2.6123 - val_accuracy: 0.3774
loss: 1.3205 - accuracy: 0.6403 - val_loss: 2.7911 - val_accuracy: 0.3651
loss: 1.1204 - accuracy: 0.6916 - val_loss: 2.9816 - val_accuracy: 0.3729
loss: 0.9404 - accuracy: 0.7398 - val_loss: 3.3626 - val_accuracy: 0.3413
loss: 0.8149 - accuracy: 0.7687 - val_loss: 3.2205 - val_accuracy: 0.3716
loss: 0.6990 - accuracy: 0.7977 - val_loss: 3.6323 - val_accuracy: 0.3607
loss: 0.5969 - accuracy: 0.8243 - val_loss: 3.7371 - val_accuracy: 0.3503
loss: 0.5246 - accuracy: 0.8413 - val_loss: 3.8889 - val_accuracy: 0.3540
loss: 0.4752 - accuracy: 0.8560 - val_loss: 4.0336 - val_accuracy: 0.3563
loss: 0.4135 - accuracy: 0.8724 - val_loss: 4.2986 - val_accuracy: 0.3517
loss: 0.3875 - accuracy: 0.8801 - val_loss: 4.5681 - val_accuracy: 0.3479
loss: 0.3585 - accuracy: 0.8892 - val_loss: 4.6837 - val_accuracy: 0.3480
loss: 0.3277 - accuracy: 0.8959 - val_loss: 4.8695 - val_accuracy: 0.3419
loss: 0.2984 - accuracy: 0.9042 - val_loss: 4.9375 - val_accuracy: 0.3433
loss: 0.2707 - accuracy: 0.9134 - val_loss: 4.9694 - val_accuracy: 0.3431
loss: 0.2690 - accuracy: 0.9124 - val_loss: 5.3434 - val_accuracy: 0.3468


